"acc_varcompanyname";"ord_cnt";"rsp_cnt";"des_cnt";"rec_cnt";"rsp_prc";"des_prc";"rec_prc"
ЛЭДИ;36;0;0;0;0.0000;0.0000;0.0000
АЛКОГРАД;1;0;0;0;0.0000;0.0000;0.0000
РДК Восток-Запад;6;0;0;0;0.0000;0.0000;0.0000
Алкон;10;10;0;0;1.0000;0.0000;0.0000
Хачатрян Г.Ф.;652;0;0;0;0.0000;0.0000;0.0000
А7 Агро;4;0;0;0;0.0000;0.0000;0.0000
Пром-текс;1;0;0;0;0.0000;0.0000;0.0000
Дмитрогорский мясоперерабатывающий завод;6;0;0;0;0.0000;0.0000;0.0000
Хлебозавод №2;8697;0;0;0;0.0000;0.0000;0.0000
Добрый Хлеб;17;0;0;0;0.0000;0.0000;0.0000
Челны-Бройлер;4;0;0;0;0.0000;0.0000;0.0000
Тольяттимолоко;11053;0;10147;0;0.0000;0.9180;0.0000
Тамбовский хлебокомбинат;5585;5366;859;0;0.9608;0.1538;0.0000
"Торговый дом ""Северо-запад";493;448;42;0;0.9087;0.0852;0.0000
Мастер Вин;3;0;0;0;0.0000;0.0000;0.0000
Медком-МП;5;0;0;0;0.0000;0.0000;0.0000
